title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
CAMELIA BRAND® 紧凑型手提包,全婴儿蓝,52,https://cf.shopee.vn/file/vn-11134207-7r98o-llohbtjuwvkv9d,http://shopee.vn/product/233235070/18384191533,女包,P0-托特包,IVCN2026092210202,59699071905,https://detail.1688.com/offer/994365342543.html?sourceId=V1-f0764a98530122ee19d63c0442ba59e7-S04&spm=a26352.b28411319/2508.0.0,品牌品,0922新增,18384191533,52,无白名单价格,3
CAMELIA BRAND® 紧凑型手提包,完全,48,https://cf.shopee.vn/file/vn-11134207-7r98o-llofsr6c5iv0da,http://shopee.vn/product/233235070/18384191533,女包,P0-托特包,IVCN2026092210202,59699071908,https://detail.1688.com/offer/968530742166.html?spm=a26352.b28411319/2508.0.0,品牌品,0922新增,18384191533,48,无白名单价格,3
CAMELIA BRAND® 紧凑型手提包,全黑,58,https://cf.shopee.vn/file/vn-11134207-7r98o-llohbtjupuqn17,http://shopee.vn/product/233235070/18384191533,女包,P0-托特包,IVCN2026092210202,59699071902,https://detail.1688.com/offer/950783611994.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,品牌品,0922新增,18384191533,58,无白名单价格,3
女士大号手提包，真皮材质，可调节斜挎肩带，优雅耐用,咖啡店,37.5,https://cf.shopee.com.br/file/br-11134207-820lz-mo6r8a2qvytea8,http://shopee.com.br/product/429470269/22792219336,女包,P0-斜挎包,IVCN2026092210912,239442958843,https://detail.1688.com/offer/900583941085.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i11&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,高adi基本盘,0922新增,22792219336,41.25,有白名单价格，货盘查询,2
女士大号手提包，真皮材质，可调节斜挎肩带，优雅耐用,焦糖布朗,37.5,https://cf.shopee.com.br/file/br-11134207-820lp-mm7glytob6yo09,http://shopee.com.br/product/429470269/22792219336,女包,P0-斜挎包,IVCN2026092210912,209152681595,https://detail.1688.com/offer/900583941085.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i11&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,高adi基本盘,0922新增,22792219336,41.25,有白名单价格，货盘查询,2
MIDORI真皮手提包/单肩包，可装14英寸笔记本电脑。CQ缝制。,巧克力针织,82,https://cf.shopee.vn/file/vn-11134207-81ztc-ml1oyobnbyte76,http://shopee.vn/product/151413041/22964778305,女包,P0-斜挎包,IVCN2026092211351,385327595661,https://detail.1688.com/offer/1000265461250.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,高adi基本盘,0922新增,22964778305,88.34,有白名单价格，货盘查询,1
MOSSDOOM Yourice 包：一款奢华的邮箱形女士单肩包。,黑色的,35.56,https://cf.shopee.co.th/file/cn-11134207-7ras8-m5z71kis651t51,http://shopee.co.th/product/984524417/23139595468,女包,P0-斜挎包,IVCN2026092210248,184226852753,https://detail.1688.com/offer/926385202056.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i29&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,品牌品,0922新增,23139595468,35.56,无白名单价格,3
MOSSDOOM Yourice 包：一款奢华的邮箱形女士单肩包。,杏,35.72,https://cf.shopee.co.th/file/cn-11134207-7ras8-m5z71hrg7hkm50,http://shopee.co.th/product/984524417/23139595468,女包,P0-斜挎包,IVCN2026092210248,184226852749,https://detail.1688.com/offer/926385202056.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i29&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,品牌品,0922新增,23139595468,35.72,无白名单价格,3
MOSSDOOM Yourice 包：一款奢华的邮箱形女士单肩包。,灰光,35.36,https://cf.shopee.co.th/file/cn-11134207-7ras8-m5z71ckft6350d,http://shopee.co.th/product/984524417/23139595468,女包,P0-斜挎包,IVCN2026092210248,69687935418,https://detail.1688.com/offer/926385202056.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i29&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,品牌品,0922新增,23139595468,35.36,无白名单价格,3
女士大号手提单肩包 + 洗漱包 | 可装小型笔记本电脑 | 适合工作、上学、日常使用，时尚耐用,玫瑰,15.5,https://cf.shopee.com.br/file/br-11134207-820lc-mnrzjdkyimf532,http://shopee.com.br/product/1491769156/23299449440,女包,P0-托特包,IVCN2026092210197,219188991441,https://detail.1688.com/offer/991940460031.html?sourceId=V1-75e5ec804814e923e463d5ae75ca6438-S04&spm=a26352.b28411319/2508.0.0,高adi基本盘,0922新增,23299449440,17.05,有白名单价格，货盘查询,1
